team,brain,rounds_won,kills,deaths,first_contact,dumb_moments,exposure_s,avg_decision_ms,peak_decision_ms
0,Utility,10,10,10,11,14,111,8,0,009,1,142
1,Utility,10,10,10,9,9,114,1,0,008,0,086
