team,brain,rounds_won,rounds_drawn,kills,deaths,first_contact,dumb_moments,exposure_s,center_s,avg_decision_ms,peak_decision_ms
0,Utility,9,0,9,11,9,13,111.8,0.0,0.0088,0.8958
1,Utility,11,0,11,9,11,14,122.2,0.0,0.0082,0.0722
